sentiment,id,date,query,user,text
0,2189726860,Tue Jun 16 00:45:06 PDT 2009,NO_QUERY,teepage,oh my goodness the wwecd craze has actually made its way into the urban dictionary alas
1,2189338558,Mon Jun 15 23:48:25 PDT 2009,NO_QUERY,myhelvetica,the d90 looks beautiful giving away ur d70
1,2062350579,Sat Jun 06 22:59:29 PDT 2009,NO_QUERY,_rubs,_rubs they just sang quottouch my handquot on a noontime show here in the philippines yay archie
0,2266052490,Sun Jun 21 07:48:55 PDT 2009,NO_QUERY,icanhasdinos,siren blood curse looks neat but meh so painfully american and the dub is lulzy
1,1686389273,Sun May 03 05:12:50 PDT 2009,NO_QUERY,mivonl,wondering what to pack for denmark winter or summer clothes or both
0,1977635531,Sat May 30 21:22:27 PDT 2009,NO_QUERY,AutumnSpikes,chillin w kemie watching movies my manz went on a mission 2night
0,1883190896,Fri May 22 08:09:17 PDT 2009,NO_QUERY,Erin92345,srry didnt see you responded til now im doing ok getting ready for dland tonight yay work til 5pm
1,1975186412,Sat May 30 14:37:41 PDT 2009,NO_QUERY,info4every1,btw congrats you just hit 1000 followers
0,1573842017,Tue Apr 21 03:06:41 PDT 2009,NO_QUERY,steeephhh,major headache
0,1754447175,Sun May 10 06:18:13 PDT 2009,NO_QUERY,JoJo8304,st andrews is scaring me
0,2301828093,Tue Jun 23 15:58:05 PDT 2009,NO_QUERY,roumagrl,the bank is being a pain amp now we dont know ifwhen were going to close on the house and im just a mess about it
0,1996703998,Mon Jun 01 15:32:32 PDT 2009,NO_QUERY,Gavsta,its nats last dat  qut meanwhile why would the bus choose not to use the busway to get to gp now stuck on kg road
0,2177275481,Mon Jun 15 05:48:25 PDT 2009,NO_QUERY,VikkiStar,im working at the oasis gig on sat and cant go so ive to go on my own anyone else working
0,2202325592,Tue Jun 16 21:36:22 PDT 2009,NO_QUERY,lindsayomigod,body hurts and could use someone to cuddle with right now
1,1975518115,Sat May 30 15:19:41 PDT 2009,NO_QUERY,Trappedcharge,mmm coffee and pancakes  sounds like breakfast of the champions
1,1986497266,Sun May 31 18:55:03 PDT 2009,NO_QUERY,sykojester,376 what a game that must have been would have been even better if it was a shutout glad you enjoyed it
1,2054246499,Sat Jun 06 06:55:16 PDT 2009,NO_QUERY,TeamUKskyvixen,calidornia is the pace to be
0,1827118778,Sun May 17 10:01:57 PDT 2009,NO_QUERY,MaggieConv,too late
0,2013895432,Tue Jun 02 23:52:42 PDT 2009,NO_QUERY,Lilmisstory,morning feelin poo covered in bites and not very happy ah well hey ho off to work i go have a nice day peoples xx
1,1964939472,Fri May 29 15:03:35 PDT 2009,NO_QUERY,WestCoastGal88,i cant believe kenny hasnt said a word yet
